Time	CellId	RNTI	BWPId	SINR(dB)
4.20707	1	1	0	8.39019
4.20707	1	2	0	12.1452
4.20707	1	3	0	12.7088
4.20707	1	4	0	-2.30142
4.20707	1	5	0	3.08193
4.20707	1	6	0	3.94164
4.20807	1	1	0	8.39019
4.20807	1	2	0	12.1452
4.20807	1	3	0	12.7088
4.20807	1	4	0	-2.30142
4.20807	1	5	0	3.08193
4.20807	1	6	0	3.94164
4.20907	1	1	0	8.39019
4.20907	1	2	0	12.1452
4.20907	1	3	0	12.7088
4.20907	1	4	0	-2.30142
4.20907	1	5	0	3.08193
4.20907	1	6	0	3.94164
4.21007	1	1	0	8.39019
4.21007	1	2	0	12.1452
4.21007	1	3	0	12.7088
4.21007	1	4	0	-2.30142
4.21007	1	5	0	3.08193
4.21007	1	6	0	3.94164
4.21107	1	1	0	8.39019
4.21107	1	2	0	12.1452
4.21107	1	3	0	12.7088
4.21107	1	4	0	-2.30142
4.21107	1	5	0	3.08193
4.21107	1	6	0	3.94164
4.21207	1	1	0	8.39019
4.21207	1	2	0	12.1452
4.21207	1	3	0	12.7088
4.21207	1	4	0	-2.30142
4.21207	1	5	0	3.08193
4.21207	1	6	0	3.94164
4.21307	1	1	0	8.39019
4.21307	1	2	0	12.1452
4.21307	1	3	0	12.7088
4.21307	1	4	0	-2.30142
4.21307	1	5	0	3.08193
4.21307	1	6	0	3.94164
4.21407	1	1	0	8.39019
4.21407	1	2	0	12.1452
4.21407	1	3	0	12.7088
4.21407	1	4	0	-2.30142
4.21407	1	5	0	3.08193
4.21407	1	6	0	3.94164
4.21507	1	1	0	8.39019
4.21507	1	2	0	12.1452
4.21507	1	3	0	12.7088
4.21507	1	4	0	-2.30142
4.21507	1	5	0	3.08193
4.21507	1	6	0	3.94164
4.21607	1	1	0	8.39019
4.21607	1	2	0	12.1452
4.21607	1	3	0	12.7088
4.21607	1	4	0	-2.30142
4.21607	1	5	0	3.08193
4.21607	1	6	0	3.94164
4.21707	1	1	0	8.39019
4.21707	1	2	0	12.1452
4.21707	1	3	0	12.7088
4.21707	1	4	0	-2.30142
4.21707	1	5	0	3.08193
4.21707	1	6	0	3.94164
4.21807	1	1	0	8.39019
4.21807	1	2	0	12.1452
4.21807	1	3	0	12.7088
4.21807	1	4	0	-2.30142
4.21807	1	5	0	3.08193
4.21807	1	6	0	3.94164
4.21907	1	1	0	8.39019
4.21907	1	2	0	12.1452
4.21907	1	3	0	12.7088
4.21907	1	4	0	-2.30142
4.21907	1	5	0	3.08193
4.21907	1	6	0	3.94164
4.22007	1	1	0	8.39019
4.22007	1	2	0	12.1452
4.22007	1	3	0	12.7088
4.22007	1	4	0	-2.30142
4.22007	1	5	0	3.08193
4.22007	1	6	0	3.94164
4.22107	1	1	0	8.39019
4.22107	1	2	0	12.1452
4.22107	1	3	0	12.7088
4.22107	1	4	0	-2.30142
4.22107	1	5	0	3.08193
4.22107	1	6	0	3.94164
4.22207	1	1	0	8.39019
4.22207	1	2	0	12.1452
4.22207	1	3	0	12.7088
4.22207	1	4	0	-2.30142
4.22207	1	5	0	3.08193
4.22207	1	6	0	3.94164
4.22307	1	1	0	8.39019
4.22307	1	2	0	12.1452
4.22307	1	3	0	12.7088
4.22307	1	4	0	-2.30142
4.22307	1	5	0	3.08193
4.22307	1	6	0	3.94164
4.22407	1	1	0	8.39019
4.22407	1	2	0	12.1452
4.22407	1	3	0	12.7088
4.22407	1	4	0	-2.30142
4.22407	1	5	0	3.08193
4.22407	1	6	0	3.94164
4.22507	1	1	0	8.39019
4.22507	1	2	0	12.1452
4.22507	1	3	0	12.7088
4.22507	1	4	0	-2.30142
4.22507	1	5	0	3.08193
4.22507	1	6	0	3.94164
4.22607	1	1	0	8.39019
4.22607	1	2	0	12.1452
4.22607	1	3	0	12.7088
4.22607	1	4	0	-2.30142
4.22607	1	5	0	3.08193
4.22607	1	6	0	3.94164
4.22707	1	1	0	8.39019
4.22707	1	2	0	12.1452
4.22707	1	3	0	12.7088
4.22707	1	4	0	-2.30142
4.22707	1	5	0	3.08193
4.22707	1	6	0	3.94164
4.22807	1	1	0	8.39019
4.22807	1	2	0	12.1452
4.22807	1	3	0	12.7088
4.22807	1	4	0	-2.30142
4.22807	1	5	0	3.08193
4.22807	1	6	0	3.94164
4.22907	1	1	0	8.39019
4.22907	1	2	0	12.1452
4.22907	1	3	0	12.7088
4.22907	1	4	0	-2.30142
4.22907	1	5	0	3.08193
4.22907	1	6	0	3.94164
4.23007	1	1	0	8.39019
4.23007	1	2	0	12.1452
4.23007	1	3	0	12.7088
4.23007	1	4	0	-2.30142
4.23007	1	5	0	3.08193
4.23007	1	6	0	3.94164
4.23107	1	1	0	8.39019
4.23107	1	2	0	12.1452
4.23107	1	3	0	12.7088
4.23107	1	4	0	-2.30142
4.23107	1	5	0	3.08193
4.23107	1	6	0	3.94164
4.23207	1	1	0	8.39019
4.23207	1	2	0	12.1452
4.23207	1	3	0	12.7088
4.23207	1	4	0	-2.30142
4.23207	1	5	0	3.08193
4.23207	1	6	0	3.94164
4.23307	1	1	0	8.39019
4.23307	1	2	0	12.1452
