Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
6.09007	DL DCI Rxed	609	0	0	1	2	0	14	2
6.09007	DL DCI Rxed	609	0	0	1	3	0	14	2
6.09007	DL DCI Rxed	609	0	0	1	4	0	14	2
6.09093	HARQ FD Txed	609	0	0	1	2	0	15	2
6.09093	HARQ FD Txed	609	0	0	1	1	0	15	2
6.09093	HARQ FD Txed	609	0	0	1	4	0	11	2
6.09093	HARQ FD Txed	609	0	0	1	3	0	11	2
6.09107	DL DCI Rxed	609	1	0	1	3	0	13	2
6.09107	DL DCI Rxed	609	1	0	1	4	0	13	2
6.09193	HARQ FD Txed	609	1	0	1	4	0	15	2
6.09193	HARQ FD Txed	609	1	0	1	3	0	15	2
6.09207	DL DCI Rxed	609	2	0	1	1	0	13	2
6.09207	DL DCI Rxed	609	2	0	1	2	0	13	2
6.09207	DL DCI Rxed	609	2	0	1	3	0	12	2
6.09207	DL DCI Rxed	609	2	0	1	4	0	12	2
6.09293	HARQ FD Txed	609	2	0	1	2	0	14	2
6.09293	HARQ FD Txed	609	2	0	1	1	0	14	2
6.09293	HARQ FD Txed	609	2	0	1	4	0	14	2
6.09293	HARQ FD Txed	609	2	0	1	3	0	14	2
6.09307	DL DCI Rxed	609	3	0	1	3	0	11	2
6.09307	DL DCI Rxed	609	3	0	1	4	0	11	2
6.09393	HARQ FD Txed	609	3	0	1	4	0	13	2
6.09393	HARQ FD Txed	609	3	0	1	3	0	13	2
6.09407	DL DCI Rxed	609	4	0	1	1	0	15	2
6.09407	DL DCI Rxed	609	4	0	1	2	0	15	2
6.09407	DL DCI Rxed	609	4	0	1	3	0	15	2
6.09407	DL DCI Rxed	609	4	0	1	4	0	15	2
6.09493	HARQ FD Txed	609	4	0	1	2	0	13	2
6.09493	HARQ FD Txed	609	4	0	1	1	0	13	2
6.09493	HARQ FD Txed	609	4	0	1	4	0	12	2
6.09493	HARQ FD Txed	609	4	0	1	3	0	12	2
6.09507	DL DCI Rxed	609	5	0	1	3	0	14	2
6.09507	DL DCI Rxed	609	5	0	1	4	0	14	2
6.09593	HARQ FD Txed	609	5	0	1	4	0	11	2
6.09593	HARQ FD Txed	609	5	0	1	3	0	11	2
6.09607	DL DCI Rxed	609	6	0	1	1	0	14	2
6.09607	DL DCI Rxed	609	6	0	1	2	0	14	2
6.09607	DL DCI Rxed	609	6	0	1	3	0	13	2
6.09607	DL DCI Rxed	609	6	0	1	4	0	13	2
6.09693	HARQ FD Txed	609	6	0	1	2	0	15	2
6.09693	HARQ FD Txed	609	6	0	1	1	0	15	2
6.09693	HARQ FD Txed	609	6	0	1	4	0	15	2
6.09693	HARQ FD Txed	609	6	0	1	3	0	15	2
