time(s)	cellId	rnti	lcid	packetSize
0.734	1	4	3	132
0.734	1	3	3	132
0.734	1	2	3	1432
0.734	1	1	3	1432
0.735	1	4	3	132
0.735	1	3	3	132
0.736	1	4	3	132
0.736	1	3	3	132
0.736	1	2	3	1432
0.736	1	1	3	1432
0.737	1	4	3	132
0.737	1	3	3	132
0.738	1	4	3	132
0.738	1	3	3	132
0.738	1	2	3	1432
0.738	1	1	3	1432
0.739	1	4	3	132
0.739	1	3	3	132
0.74	1	4	3	132
0.74	1	3	3	132
0.74	1	2	3	1432
0.74	1	1	3	1432
0.741	1	4	3	132
0.741	1	3	3	132
0.742	1	4	3	132
0.742	1	3	3	132
0.742	1	2	3	1432
0.742	1	1	3	1432
0.743	1	4	3	132
0.743	1	3	3	132
0.744	1	4	3	132
0.744	1	3	3	132
0.744	1	2	3	1432
0.744	1	1	3	1432
0.745	1	4	3	132
0.745	1	3	3	132
0.746	1	4	3	132
0.746	1	3	3	132
0.746	1	2	3	1432
0.746	1	1	3	1432
0.747	1	4	3	132
0.747	1	3	3	132
0.748	1	4	3	132
0.748	1	3	3	132
0.748	1	2	3	1432
0.748	1	1	3	1432
0.749	1	4	3	132
0.749	1	3	3	132
0.75	1	4	3	132
0.75	1	3	3	132
0.75	1	2	3	1432
0.75	1	1	3	1432
0.751	1	4	3	132
0.751	1	3	3	132
0.752	1	6	3	82
0.752	1	5	3	82
0.752	1	4	3	132
0.752	1	3	3	132
0.752	1	2	3	1432
0.752	1	1	3	1432
0.753	1	4	3	132
0.753	1	3	3	132
0.754	1	4	3	132
0.754	1	3	3	132
0.754	1	2	3	1432
0.754	1	1	3	1432
0.755	1	4	3	132
0.755	1	3	3	132
0.756	1	4	3	132
0.756	1	3	3	132
0.756	1	2	3	1432
0.756	1	1	3	1432
0.757	1	4	3	132
0.757	1	3	3	132
0.758	1	4	3	132
0.758	1	3	3	132
0.758	1	2	3	1432
0.758	1	1	3	1432
0.759	1	4	3	132
0.759	1	3	3	132
0.76	1	4	3	132
0.76	1	3	3	132
0.76	1	2	3	1432
0.76	1	1	3	1432
0.761	1	4	3	132
0.761	1	3	3	132
0.762	1	4	3	132
0.762	1	3	3	132
0.762	1	2	3	1432
0.762	1	1	3	1432
0.763	1	4	3	132
0.763	1	3	3	132
0.764	1	4	3	132
0.764	1	3	3	132
0.764	1	2	3	1432
0.764	1	1	3	1432
0.765	1	4	3	132
0.765	1	3	3	132
0.766	1	4	3	132
0.766	1	3	3	132
0.766	1	2	3	1432
0.766	1	1	3	1432
0.767	1	4	3	132
0.767	1	3	3	132
0.768	1	4	3	132
0.768	1	3	3	132
0.768	1	2	3	1432
0.768	1	1	3	1432
0.769	1	4	3	132
0.769	1	3	3	132
0.77	1	4	3	132
0.77	1	3	3	132
0.77	1	2	3	1432
0.77	1	1	3	1432
0.771	1	4	3	132
0.771	1	3	3	132
0.772	1	4	3	132
0.772	1	3	3	132
0.772	1	2	3	1432
0.772	1	1	3	1432
0.773	1	4	3	132
0.773	1	3	3	132
0.774	1	4	3	132
0.774	1	3	3	132
0.774	1	2	3	1432
0.774	1	1	3	1432
0.775	1	4	3	132
0.775	1	3	3	132
0.776	1	4	3	132
0.776	1	3	3	132
0.776	1	2	3	1432
0.776	1	1	3	1432
0.777	1	4	3	132
0.777	1	3	3	132
0.778	1	4	3	132
0.778	1	3	3	132
0.778	1	2	3	1432
0.778	1	1	3	1432
0.779	1	4	3	132
0.779	1	3	3	132
0.78	1	4	3	132
0.78	1	3	3	132
0.78	1	2	3	1432
0.78	1	1	3	1432
0.781	1	4	3	132
0.781	1	3	3	132
0.782	1	4	3	132
0.782	1	3	3	132
0.782	1	2	3	1432
0.782	1	1	3	1432
0.783	1	4	3	132
0.783	1	3	3	132
0.784	1	4	3	132
0.784	1	3	3	132
0.784	1	2	3	1432
0.784	1	1	3	1432
0.785	1	4	3	132
0.785	1	3	3	132
0.786	1	4	3	132
0.786	1	3	3	132
0.786	1	2	3	1432
0.786	1	1	3	1432
0.787	1	4	3	132
0.787	1	3	3	132
0.788	1	4	3	132
0.788	1	3	3	132
0.788	1	2	3	1432
0.788	1	1	3	1432
0.789	1	4	3	132
0.789	1	3	3	132
0.79	1	4	3	132
0.79	1	3	3	132
0.79	1	2	3	1432
0.79	1	1	3	1432
0.791	1	4	3	132
0.791	1	3	3	132
0.792	1	4	3	132
0.792	1	3	3	132
0.792	1	2	3	1432
0.792	1	1	3	1432
0.793	1	4	3	132
0.793	1	3	3	132
0.794	1	4	3	132
0.794	1	3	3	132
0.794	1	2	3	1432
0.794	1	1	3	1432
0.795	1	4	3	132
