% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0642143	1	3	2	2.43777e-10	513927	0
0.0642143	1	4	4	1.47275e-10	310483	0
0.0642143	1	5	5	9.48408e-11	199942	0
0.0642143	1	6	3	6.50871e-11	137216	0
0.0652143	1	1	1	5.19616e-10	1.09545e+06	0
0.0652143	1	2	6	4.03124e-10	849859	0
0.0652143	1	3	2	2.43735e-10	513837	0
0.0652143	1	4	4	1.47252e-10	310434	0
0.0652143	1	5	5	9.4828e-11	199915	0
0.0652143	1	6	3	6.50796e-11	137200	0
0.0662143	1	1	1	5.19614e-10	1.09544e+06	0
0.0662143	1	2	6	4.03065e-10	849735	0
0.0662143	1	3	2	2.43692e-10	513747	0
0.0662143	1	4	4	1.47229e-10	310385	0
0.0662143	1	5	5	9.48151e-11	199888	0
0.0662143	1	6	3	6.5072e-11	137184	0
0.0672143	1	1	1	5.19612e-10	1.09544e+06	0
0.0672143	1	2	6	4.03006e-10	849610	0
0.0672143	1	3	2	2.43649e-10	513658	0
0.0672143	1	4	4	1.47205e-10	310336	0
0.0672143	1	5	5	9.48023e-11	199861	0
0.0672143	1	6	3	6.50645e-11	137168	0
0.0682143	1	1	1	5.1961e-10	1.09543e+06	0
0.0682143	1	2	6	4.02947e-10	849486	0
0.0682143	1	3	2	2.43607e-10	513568	0
0.0682143	1	4	4	1.47182e-10	310287	0
0.0682143	1	5	5	9.47894e-11	199834	0
0.0682143	1	6	3	6.50569e-11	137152	0
0.0692143	1	1	1	5.19607e-10	1.09543e+06	0
0.0692143	1	2	6	4.02888e-10	849362	0
0.0692143	1	3	2	2.43564e-10	513478	0
0.0692143	1	4	4	1.47159e-10	310238	0
0.0692143	1	5	5	9.47766e-11	199807	0
0.0692143	1	6	3	6.50493e-11	137136	0
0.0702143	1	1	1	5.19605e-10	1.09542e+06	0
0.0702143	1	2	6	4.02829e-10	849237	0
0.0702143	1	3	2	2.43521e-10	513388	0
0.0702143	1	4	4	1.47135e-10	310189	0
0.0702143	1	5	5	9.47637e-11	199779	0
0.0702143	1	6	3	6.50418e-11	137120	0
0.0712143	1	1	1	5.19603e-10	1.09542e+06	0
0.0712143	1	2	6	4.0277e-10	849113	0
0.0712143	1	3	2	2.43479e-10	513298	0
0.0712143	1	4	4	1.47112e-10	310140	0
0.0712143	1	5	5	9.47509e-11	199752	0
0.0712143	1	6	3	6.50342e-11	137104	0
0.0722143	1	1	1	5.19601e-10	1.09541e+06	0
0.0722143	1	2	6	4.02711e-10	848988	0
0.0722143	1	3	2	2.43436e-10	513208	0
0.0722143	1	4	4	1.47089e-10	310091	0
0.0722143	1	5	5	9.47381e-11	199725	0
0.0722143	1	6	3	6.50267e-11	137088	0
0.0732143	1	1	1	5.19598e-10	1.09541e+06	0
0.0732143	1	2	6	4.02652e-10	848864	0
0.0732143	1	3	2	2.43393e-10	513118	0
0.0732143	1	4	4	1.47066e-10	310042	0
0.0732143	1	5	5	9.47252e-11	199698	0
0.0732143	1	6	3	6.50191e-11	137072	0
0.0742143	1	1	1	5.19596e-10	1.0954e+06	0
0.0742143	1	2	6	4.02593e-10	848740	0
0.0742143	1	3	2	2.43351e-10	513028	0
0.0742143	1	4	4	1.47042e-10	309993	0
0.0742143	1	5	5	9.47124e-11	199671	0
0.0742143	1	6	3	6.50116e-11	137056	0
0.0752143	1	1	1	5.19594e-10	1.0954e+06	0
0.0752143	1	2	6	4.02533e-10	848615	0
0.0752143	1	3	2	2.43308e-10	512939	0
0.0752143	1	4	4	1.47019e-10	309944	0
0.0752143	1	5	5	9.46996e-11	199644	0
0.0752143	1	6	3	6.50041e-11	137041	0
0.0762143	1	1	1	5.19591e-10	1.09539e+06	0
0.0762143	1	2	6	4.02474e-10	848491	0
0.0762143	1	3	2	2.43266e-10	512849	0
0.0762143	1	4	4	1.46996e-10	309895	0
0.0762143	1	5	5	9.46867e-11	199617	0
0.0762143	1	6	3	6.49965e-11	137025	0
0.0772143	1	1	1	5.19589e-10	1.09539e+06	0
0.0772143	1	2	6	4.02415e-10	848366	0
0.0772143	1	3	2	2.43223e-10	512759	0
0.0772143	1	4	4	1.46973e-10	309846	0
0.0772143	1	5	5	9.46739e-11	199590	0
0.0772143	1	6	3	6.4989e-11	137009	0
0.0782143	1	1	1	5.19586e-10	1.09538e+06	0
0.0782143	1	2	6	4.02356e-10	848242	0
0.0782143	1	3	2	2.4318e-10	512669	0
0.0782143	1	4	4	1.4695e-10	309797	0
0.0782143	1	5	5	9.46611e-11	199563	0
0.0782143	1	6	3	6.49814e-11	136993	0
0.0792143	1	1	1	5.19584e-10	1.09538e+06	0
