% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
1429	1	4	4	0	0	28	2196	0	1	1	0
1430	1	4	4	0	0	28	2196	0	1	1	0
1431	1	3	2	0	0	28	2196	0	1	1	0
1432	1	3	2	0	0	28	2196	0	1	1	0
1433	1	4	4	0	0	28	2196	0	1	1	0
1434	1	4	4	0	0	28	2196	0	1	1	0
1435	1	1	1	0	0	28	2196	0	1	1	0
1436	1	3	2	0	0	28	2196	0	1	1	0
1437	1	4	4	0	0	28	2196	0	1	1	0
1438	1	2	6	0	0	28	2196	0	1	1	0
1439	1	3	2	0	0	28	2196	0	1	1	0
1440	1	3	2	0	0	28	2196	0	1	1	0
1441	1	4	4	0	0	28	2196	0	1	1	0
1442	1	4	4	0	0	28	2196	0	1	1	0
1443	1	3	2	0	0	28	2196	0	1	1	0
1444	1	4	4	0	0	28	2196	0	1	1	0
1445	1	1	1	0	0	28	2196	0	1	1	0
1446	1	3	2	0	0	28	2196	0	1	1	0
1447	1	4	4	0	0	28	2196	0	1	1	0
1448	1	4	4	0	0	28	2196	0	1	1	0
1449	1	4	4	0	0	28	2196	0	1	1	0
1450	1	4	4	0	0	28	2196	0	1	1	0
1454	1	2	6	0	0	28	2196	0	1	1	0
1455	1	1	1	0	0	28	2196	0	1	1	0
1456	1	3	2	0	0	28	2196	0	1	1	0
1457	1	3	2	0	0	28	2196	0	1	1	0
1458	1	3	2	0	0	28	2196	0	1	1	0
1459	1	3	2	0	0	28	2196	0	1	1	0
1460	1	4	4	0	0	28	2196	0	1	1	0
1461	1	2	6	0	0	28	2196	0	1	1	0
1462	1	3	2	0	0	28	2196	0	1	1	0
1463	1	4	4	0	0	28	2196	0	1	1	0
1464	1	3	2	0	0	28	2196	0	1	1	0
1465	1	1	1	0	0	28	2196	0	1	1	0
1466	1	4	4	0	0	28	2196	0	1	1	0
1467	1	3	2	0	0	28	2196	0	1	1	0
1468	1	4	4	0	0	28	2196	0	1	1	0
1469	1	2	6	0	0	28	2196	0	1	1	0
1470	1	3	2	0	0	28	2196	0	1	1	0
1471	1	3	2	0	0	28	2196	0	1	1	0
1472	1	3	2	0	0	28	2196	0	1	1	0
1474	1	3	2	0	0	28	2196	0	1	1	0
1475	1	1	1	0	0	28	2196	0	1	1	0
1476	1	4	4	0	0	28	2196	0	1	1	0
1477	1	3	2	0	0	28	2196	0	1	1	0
1478	1	2	6	0	0	28	2196	0	1	1	0
1479	1	3	2	0	0	28	2196	0	1	1	0
1480	1	4	4	0	0	28	2196	0	1	1	0
1481	1	4	4	0	0	28	2196	0	1	1	0
1482	1	4	4	0	0	28	2196	0	1	1	0
1483	1	3	2	0	0	28	2196	0	1	1	0
1484	1	3	2	0	0	28	2196	0	1	1	0
1485	1	1	1	0	0	28	2196	0	1	1	0
1486	1	4	4	0	0	28	2196	0	1	1	0
1487	1	4	4	0	0	28	2196	0	1	1	0
1488	1	2	6	0	0	28	2196	0	1	1	0
1489	1	4	4	0	0	28	2196	0	1	1	0
1490	1	3	2	0	0	28	2196	0	1	1	0
1491	1	3	2	0	0	28	2196	0	1	1	0
1492	1	4	4	0	0	28	2196	0	1	1	0
1493	1	4	4	0	0	28	2196	0	1	1	0
1494	1	4	4	0	0	28	2196	0	1	1	0
1495	1	1	1	0	0	28	2196	0	1	1	0
1496	1	3	2	0	0	28	2196	0	1	1	0
1497	1	4	4	0	0	28	2196	0	1	1	0
1498	1	4	4	0	0	28	2196	0	1	1	0
1499	1	3	2	0	0	28	2196	0	1	1	0
1500	1	4	4	0	0	28	2196	0	1	1	0
1501	1	2	6	0	0	28	2196	0	1	1	0
1502	1	3	2	0	0	28	2196	0	1	1	0
1503	1	3	2	0	0	28	2196	0	1	1	0
1504	1	4	4	0	0	28	2196	0	1	1	0
1505	1	1	1	0	0	28	2196	0	1	1	0
