Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.582929	DL	58	2	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.582929	DL	58	2	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.582929	DL	58	2	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.583929	DL	58	3	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.583929	DL	58	3	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.584929	DL	58	4	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.584929	DL	58	4	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.584929	DL	58	4	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.584929	DL	58	4	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.585929	DL	58	5	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.585929	DL	58	5	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.586929	DL	58	6	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.586929	DL	58	6	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.586929	DL	58	6	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
0.586929	DL	58	6	0	1	12	1	0	4	179	28	1	0	25.4029	15	0	5.701e-14
0.587857	DL	58	7	0	1	11	1	0	3	163	28	1	0	41.8154	15	0	5.701e-14
0.587857	DL	58	7	0	1	11	1	0	4	163	28	1	0	35.717	15	0	5.701e-14
0.588857	DL	58	8	0	1	11	1	0	1	1471	22	1	0	15.8212	12	0	0
0.588857	DL	58	8	0	1	11	1	0	2	1499	28	1	0	26.3133	15	0	0
0.588857	DL	58	8	0	1	11	1	0	3	163	28	1	0	31.115	15	0	5.701e-14
0.588857	DL	58	8	0	1	11	1	0	4	163	28	1	0	25.0166	15	0	5.701e-14
0.589929	DL	58	9	0	1	12	1	0	3	179	28	1	0	41.8154	15	0	5.701e-14
0.589929	DL	58	9	0	1	12	1	0	4	179	28	1	0	35.717	15	0	5.701e-14
0.590929	DL	59	0	0	1	12	1	0	1	1477	22	1	0	16.2309	12	0	0
0.590929	DL	59	0	0	1	12	1	0	2	1454	28	1	0	26.7598	15	0	0
0.590929	DL	59	0	0	1	12	1	0	3	179	28	1	0	31.5013	15	0	5.701e-14
