time(s)	cellId	rnti	lcid	packetSize
0.717004	1	4	3	130
0.718	1	3	3	130
0.718	1	4	3	130
0.719002	1	1	3	1430
0.719004	1	2	3	1430
0.719004	1	3	3	130
0.719004	1	4	3	130
0.72	1	3	3	130
0.72	1	4	3	130
0.721002	1	1	3	1430
0.721004	1	2	3	1430
0.721004	1	3	3	130
0.721004	1	4	3	130
0.722	1	3	3	130
0.722	1	4	3	130
0.723002	1	1	3	1430
0.723004	1	2	3	1430
0.723004	1	3	3	130
0.723004	1	4	3	130
0.724	1	3	3	130
0.724	1	4	3	130
0.725002	1	1	3	1430
0.725004	1	2	3	1430
0.725004	1	3	3	130
0.725004	1	4	3	130
0.726	1	3	3	130
0.726	1	4	3	130
0.727002	1	1	3	1430
0.727004	1	2	3	1430
0.727004	1	3	3	130
0.727004	1	4	3	130
0.728	1	3	3	130
0.728	1	4	3	130
0.729002	1	1	3	1430
0.729004	1	2	3	1430
0.729004	1	3	3	130
0.729004	1	4	3	130
0.73	1	3	3	130
0.73	1	4	3	130
0.731002	1	1	3	1430
0.731004	1	2	3	1430
0.731004	1	3	3	130
0.731004	1	4	3	130
0.732	1	3	3	130
0.732	1	4	3	130
0.733002	1	1	3	1430
0.733004	1	2	3	1430
0.733004	1	3	3	130
0.733004	1	4	3	130
0.734	1	3	3	130
0.734	1	4	3	130
0.735002	1	1	3	1430
0.735004	1	2	3	1430
0.735004	1	3	3	130
0.735004	1	4	3	130
0.736	1	3	3	130
0.736	1	4	3	130
0.737002	1	1	3	1430
0.737004	1	2	3	1430
0.737004	1	3	3	130
0.737004	1	4	3	130
0.738	1	3	3	130
0.738	1	4	3	130
0.739002	1	1	3	1430
0.739004	1	2	3	1430
0.739004	1	3	3	130
0.739004	1	4	3	130
0.74	1	3	3	130
0.74	1	4	3	130
0.741002	1	1	3	1430
0.741004	1	2	3	1430
0.741004	1	3	3	130
0.741004	1	4	3	130
0.742	1	3	3	130
0.742	1	4	3	130
0.743002	1	1	3	1430
0.743004	1	2	3	1430
0.743004	1	3	3	130
0.743004	1	4	3	130
0.744	1	3	3	130
0.744	1	4	3	130
0.745002	1	1	3	1430
0.745004	1	2	3	1430
0.745004	1	3	3	130
0.745004	1	4	3	130
0.746	1	3	3	130
0.746	1	4	3	130
0.747002	1	1	3	1430
0.747004	1	2	3	1430
0.747004	1	3	3	130
0.747004	1	4	3	130
0.748	1	3	3	130
0.748	1	4	3	130
0.749002	1	1	3	1430
0.749004	1	2	3	1430
0.749004	1	3	3	130
0.749004	1	4	3	130
0.75	1	3	3	130
0.75	1	4	3	130
0.751	1	5	3	80
0.751	1	6	3	80
0.751003	1	1	3	1430
0.751004	1	2	3	1430
0.751004	1	3	3	130
0.751004	1	4	3	130
0.752	1	3	3	130
0.752	1	4	3	130
0.753002	1	1	3	1430
0.753004	1	2	3	1430
0.753004	1	3	3	130
0.753004	1	4	3	130
0.754	1	3	3	130
0.754	1	4	3	130
0.755002	1	1	3	1430
0.755004	1	2	3	1430
0.755004	1	3	3	130
0.755004	1	4	3	130
0.756	1	3	3	130
0.756	1	4	3	130
0.757002	1	1	3	1430
0.757004	1	2	3	1430
0.757004	1	3	3	130
0.757004	1	4	3	130
0.758	1	3	3	130
0.758	1	4	3	130
0.759002	1	1	3	1430
0.759004	1	2	3	1430
0.759004	1	3	3	130
0.759004	1	4	3	130
0.76	1	3	3	130
0.76	1	4	3	130
0.761002	1	1	3	1430
0.761004	1	2	3	1430
0.761004	1	3	3	130
0.761004	1	4	3	130
0.762	1	3	3	130
0.762	1	4	3	130
0.763002	1	1	3	1430
0.763004	1	2	3	1430
0.763004	1	3	3	130
0.763004	1	4	3	130
0.764	1	3	3	130
0.764	1	4	3	130
0.765002	1	1	3	1430
0.765004	1	2	3	1430
0.765004	1	3	3	130
0.765004	1	4	3	130
0.766	1	3	3	130
0.766	1	4	3	130
0.767002	1	1	3	1430
0.767004	1	2	3	1430
0.767004	1	3	3	130
0.767004	1	4	3	130
0.768	1	3	3	130
0.768	1	4	3	130
0.769002	1	1	3	1430
0.769004	1	2	3	1430
0.769004	1	3	3	130
0.769004	1	4	3	130
0.77	1	3	3	130
0.77	1	4	3	130
0.771002	1	1	3	1430
0.771004	1	2	3	1430
0.771004	1	3	3	130
0.771004	1	4	3	130
0.772	1	3	3	130
0.772	1	4	3	130
0.773002	1	1	3	1430
0.773004	1	2	3	1430
0.773004	1	3	3	130
0.773004	1	4	3	130
0.774	1	3	3	130
0.774	1	4	3	130
0.775002	1	1	3	1430
0.775004	1	2	3	1430
0.775004	1	3	3	130
0.775004	1	4	3	130
0.776	1	3	3	130
0.776	1	4	3	130
0.777002	1	1	3	1430
0.777004	1	2	3	1430
0.777004	1	3	3	130
0.777004	1	4	3	130
0.778	1	3	3	130
0.778	1	4	3	130
0.779002	1	1	3	1430
0.779004	1	2	3	1430
0.779004	1	3	3	130
0.779004	1	4	3	130
0.78	1	3	3	130
0.78	1	4	3	130
0.781002	1	1	3	1430
0.781004	1	2	3	1430
0.781004	1	3	3	130
0.781004	1	4	3	130
0.782	1	3	3	130
0.782	1	4	3	130
0.783002	1	1	3	1430
0.783004	1	2	3	1430
0.783004	1	3	3	130
0.783004	1	4	3	130
0.784	1	3	3	130
0.784	1	4	3	130
0.785002	1	1	3	1430
0.785004	1	2	3	1430
0.785004	1	3	3	130
0.785004	1	4	3	130
0.786	1	3	3	130
0.786	1	4	3	130
0.787002	1	1	3	1430
0.787004	1	2	3	1430
0.787004	1	3	3	130
0.787004	1	4	3	130
0.788	1	3	3	130
0.788	1	4	3	130
0.789002	1	1	3	1430
0.789004	1	2	3	1430
0.789004	1	3	3	130
0.789004	1	4	3	130
0.79	1	3	3	130
0.79	1	4	3	130
0.791002	1	1	3	1430
0.791004	1	2	3	1430
0.791004	1	3	3	130
0.791004	1	4	3	130
0.792	1	3	3	130
0.792	1	4	3	130
0.793002	1	1	3	1430
0.793004	1	2	3	1430
0.793004	1	3	3	130
0.793004	1	4	3	130
0.794	1	3	3	130
0.794	1	4	3	130
0.795002	1	1	3	1430
0.795004	1	2	3	1430
0.795004	1	3	3	130
0.795004	1	4	3	130
0.796	1	3	3	130
0.796	1	4	3	130
0.797002	1	1	3	1430
0.797004	1	2	3	1430
0.797004	1	3	3	130
0.797004	1	4	3	130
0.798	1	3	3	130
0.798	1	4	3	130
0.799002	1	1	3	1430
0.799004	1	2	3	1430
0.799004	1	3	3	130
0.799004	1	4	3	130
0.8	1	3	3	130
0.8	1	4	3	130
0.801	1	5	3	80
0.801	1	6	3	80
0.801003	1	1	3	1430
0.801004	1	2	3	1430
0.801004	1	3	3	130
0.801004	1	4	3	130
0.802	1	3	3	130
0.802	1	4	3	130
0.803002	1	1	3	1430
0.803004	1	2	3	1430
0.803004	1	3	3	130
0.803004	1	4	3	130
0.804	1	3	3	130
0.804	1	4	3	130
0.805002	1	1	3	1430
0.805004	1	2	3	1430
0.805004	1	3	3	130
0.805004	1	4	3	130
0.806	1	3	3	130
0.806	1	4	3	130
0.807002	1	1	3	1430
0.807004	1	2	3	1430
0.807004	1	3	3	130
0.807004	1	4	3	130
0.808	1	3	3	130
0.808	1	4	3	130
0.809002	1	1	3	1430
0.809004	1	2	3	1430
0.809004	1	3	3	130
0.809004	1	4	3	130
0.81	1	3	3	130
0.81	1	4	3	130
0.811002	1	1	3	1430
0.811004	1	2	3	1430
0.811004	1	3	3	130
0.811004	1	4	3	130
0.812	1	3	3	130
0.812	1	4	3	130
0.813002	1	1	3	1430
0.813004	1	2	3	1430
0.813004	1	3	3	130
0.813004	1	4	3	130
0.814	1	3	3	130
0.814	1	4	3	130
0.815002	1	1	3	1430
0.815004	1	2	3	1430
0.815004	1	3	3	130
0.815004	1	4	3	130
0.816	1	3	3	130
0.816	1	4	3	130
0.817002	1	1	3	1430
0.817004	1	2	3	1430
0.817004	1	3	3	130
0.817004	1	4	3	130
0.818	1	3	3	130
0.818	1	4	3	130
0.819002	1	1	3	1430
0.819004	1	2	3	1430
0.819004	1	3	3	130
0.819004	1	4	3	130
0.82	1	3	3	130
